"ID","Module","Feature","Description","Prerequisites","Steps","Input","Expected","Priority","Type","Status","Notes"
"TC-081","Danh sách phòng","Hiển thị danh sách phòng","Trang phòng hiển thị tất cả phòng publish","Có ít nhất 1 phòng đã publish","1. Truy cập trang /phong
2. Quan sát danh sách","URL: /phong","Hiển thị tất cả phòng dưới dạng card: ảnh, tên, giá/đêm, sức chứa, nút 'Xem chi tiết'","Cao","Chức năng","Chưa kiểm tra",""
"TC-082","Danh sách phòng","Click 'Xem chi tiết'","Điều hướng đến trang chi tiết phòng","Đang ở trang danh sách phòng","1. Click nút 'Xem chi tiết' của một phòng","—","Điều hướng đến trang single-room tương ứng với URL đúng","Cao","Chức năng","Chưa kiểm tra",""
"TC-083","Header","Logo hiển thị","Logo thương hiệu hiển thị trong header","Trang bất kỳ","1. Quan sát header","—","Logo hiển thị rõ nét, click vào logo điều hướng về trang chủ","Trung bình","UI/UX","Chưa kiểm tra",""
"TC-084","Header","Sticky header","Header cố định khi cuộn trang","Trang có nội dung dài hơn viewport","1. Cuộn trang xuống
2. Quan sát header","—","Header vẫn cố định ở đầu trang khi cuộn xuống","Trung bình","UI/UX","Chưa kiểm tra",""
"TC-085","Footer","Thông tin footer","Footer hiển thị đầy đủ thông tin","Cuộn xuống cuối trang","1. Scroll xuống cuối trang
2. Quan sát footer","—","Footer hiển thị: logo/tên hotel, địa chỉ, SĐT, email, links menu, copyright","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-086","Bảo mật","CSRF protection (nonce)","Tất cả form POST đều có nonce verification","—","1. Inspect form HTML
2. Kiểm tra wp_nonce_field
3. Thử submit form không có nonce","Form không có nonce","Server từ chối request không có nonce hợp lệ","Cao","Bảo mật","Chưa kiểm tra",""
"TC-087","Bảo mật","Sanitize input","Dữ liệu đầu vào được sanitize","—","1. Nhập HTML script vào form liên hệ
2. Submit
3. Kiểm tra dữ liệu được lưu","Input: <script>alert('XSS')</script>","Script bị strip/escape, không execute được. Dữ liệu lưu là text thuần","Cao","Bảo mật","Chưa kiểm tra",""
"TC-088","Hiệu năng","Tốc độ tải trang chủ","Trang chủ tải trong thời gian chấp nhận được","Server hoạt động bình thường","1. Mở DevTools > Network
2. Hard reload trang chủ","—","Thời gian load < 3 giây trên kết nối 4G bình thường","Trung bình","Hiệu năng","Chưa kiểm tra",""
"TC-089","Hiệu năng","Tốc độ tải trang chủ","Trang chủ tải trong vòng 3 giây trên kết nối 4G","Server hoạt động bình thường","1. Mở DevTools
2. Vào tab Network
3. Hard reload trang chủ","Kết nối 4G bình thường","Tổng thời gian load dưới 3000 milliseconds","Trung bình","Hiệu năng","Chưa kiểm tra",""
"TC-090","Đa ngôn ngữ","Chuyển sang Tiếng Anh","Tất cả nội dung chuyển sang EN","Đang dùng Tiếng Việt","1. Click nút chuyển ngôn ngữ sang EN
2. Duyệt các trang","Language: English","Tất cả nhãn, tiêu đề, thông báo hiển thị bằng tiếng Anh","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-091","Đa ngôn ngữ","Chuyển lại Tiếng Việt","Nội dung phục hồi tiếng Việt","Đang dùng tiếng Anh","1. Click nút chuyển sang VI
2. Quan sát nội dung","Language: Vietnamese","Tất cả nội dung quay lại tiếng Việt","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-092","Đa ngôn ngữ","Error messages đa ngôn ngữ","Thông báo lỗi hiển thị đúng ngôn ngữ","Đang dùng tiếng Anh","1. Submit form liên hệ trống
2. Quan sát thông báo lỗi","Language: EN\nForm: rỗng","Thông báo lỗi hiển thị bằng tiếng Anh: 'Please fill in completely: Name, Email and Message.'","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-093","Responsive","Mobile (360px)","Website hiển thị đúng trên màn hình 360px","—","1. Mở DevTools
2. Set viewport width = 360px
3. Duyệt các trang chính","Viewport: 360px","Không có nội dung bị overflow, text đọc được, buttons đủ lớn để nhấn","Cao","Responsive","Chưa kiểm tra",""
"TC-094","Responsive","Tablet (768px)","Website hiển thị đúng trên màn hình 768px","—","1. Set viewport = 768px
2. Duyệt các trang chính","Viewport: 768px","Grid layout chuyển sang 2 cột, menu hiển thị đúng","Trung bình","Responsive","Chưa kiểm tra",""
"TC-095","Responsive","Desktop (1280px+)","Website hiển thị đúng trên màn hình lớn","—","1. Set viewport = 1280px
2. Duyệt các trang chính","Viewport: 1280px","Layout 3 cột, full navigation menu, nội dung căn giữa trong max-width container","Cao","Responsive","Chưa kiểm tra",""
"TC-096","Responsive","Form booking trên mobile","Form đặt phòng dùng được trên mobile","Viewport: 360px","1. Mở trang đặt phòng trên mobile
2. Điền form
3. Submit","Viewport: 360px","Form hiển thị 1 cột, date picker mở đúng, nút đủ lớn. Submit hoạt động bình thường","Cao","Responsive","Chưa kiểm tra",""
"TC-097","Admin","Quản lý phòng","Admin tạo được phòng mới","Đăng nhập với quyền Admin","1. Vào Admin > Phòng > Thêm mới
2. Điền đầy đủ thông tin
3. Publish","—","Phòng mới được tạo và hiển thị trên frontend","Cao","Chức năng","Chưa kiểm tra",""
"TC-098","Admin","Quản lý booking","Admin xem được danh sách đặt phòng","Có ít nhất 1 booking","1. Vào Admin > Đặt phòng","—","Danh sách booking hiển thị với đầy đủ cột: Mã, Khách hàng, Phòng, Ngày, Trạng thái","Cao","Chức năng","Chưa kiểm tra",""
"TC-099","Admin","Xem leads tư vấn","Admin xem được leads đăng ký tư vấn","Có ít nhất 1 lead từ popup tư vấn","1. Vào Admin > Tư vấn Leads","—","Danh sách leads hiển thị với: Họ tên, SĐT, Email, Lời nhắn, Thời gian","Cao","Chức năng","Chưa kiểm tra",""
"TC-100","Admin","Customizer - Cài đặt liên hệ","Admin thay đổi thông tin liên hệ qua Customizer","Đăng nhập Admin","1. Giao diện > Tuỳ chỉnh
2. Sửa số hotline
3. Publish
4. Kiểm tra frontend","Hotline mới: 1900 9999","Số hotline mới hiển thị đúng trên trang liên hệ và footer","Trung bình","Chức năng","Chưa kiểm tra",""
